Date,Recording.Day.of.Week,Lagged.Day.of.Week,Shift,Arrivals,Departures,Occupancy,Guests.per.Occ.,NCGR,Service.Events
4/20/2024,Saturday,Saturday,PM,12,0,53,1.79245283,0,41
4/22/2024,Monday,Monday,PM,23,0,58,1.25862069,0,73
4/24/2024,Wednesday,Wednesday,PM,22,0,85,1.517647059,1,79
4/25/2024,Thursday,Thursday,PM,19,0,80,1.6375,13,63
4/27/2024,Saturday,Saturday,PM,12,0,78,1.692307692,13,73
4/29/2024,Monday,Monday,PM,17,0,47,1.085106383,3,46
4/30/2024,Tuesday,Tuesday,PM,45,0,100,1.06,0,108
5/8/2024,Wednesday,Wednesday,PM,16,0,89,1.011235955,0,74
5/9/2024,Thursday,Thursday,PM,18,0,85,1.247058824,0,49
5/10/2024,Friday,Friday,PM,22,0,76,1.697368421,0,66
5/22/2024,Wednesday,Wednesday,PM,11,0,84,1.035714286,0,48
5/23/2024,Thursday,Thursday,PM,9,0,60,1.05,0,26
5/24/2024,Friday,Friday,PM,13,0,41,1.512195122,0,29
5/25/2024,Saturday,Saturday,PM,9,0,36,1.527777778,0,38
5/27/2024,Monday,Monday,PM,8,0,35,1.542857143,0,30
5/29/2024,Wednesday,Wednesday,PM,11,0,48,1.166666667,0,41
5/30/2024,Thursday,Thursday,PM,14,0,52,1.5,0,47
6/3/2024,Monday,Monday,PM,18,0,85,1.2,0,57
6/5/2024,Wednesday,Wednesday,PM,14,0,83,1.192771084,0,53
6/12/2024,Wednesday,Wednesday,PM,9,0,46,1.260869565,0,23
6/13/2024,Thursday,Thursday,PM,29,0,69,1.173913043,0,85
6/19/2024,Wednesday,Wednesday,PM,8,0,41,0.975609756,0,47
